Word,Frequency
kecewa..,3
fitur,36
pencairan,283
instan,22
tiba-tiba,9
tidak,793
bisa.,27
padahal,338
sudah,541
percaya,23
sama,286
ekosistem,1
bibit..,8
klo,93
kayak,47
gini,55
orang,76
yang,585
menyimpan,6
dana,547
daruratnya,1
direksadana,2
ada,700
apa,179
kabar...,1
syarat,9
dan,775
ketentuan,5
masalah.,3
hanya,89
saja,83
dari,387
pihak,82
kalian,70
mengatakan,2
itu,237
bisa,1220
digunakan,16
kembali,69
di,1960
tanggal,66
09/04/25.,1
kemarin,25
saya,1637
coba,168
iseng,4
narik,86
100,49
ribu,74
dilakukan,7
aku,121
lupa,21
"pin,",3
saat,144
ingin,48
rubah,3
pin,34
suruh,61
masukan,28
no,48
"KTP,",3
udah,472
kali,110
malah,338
KTP,70
"sesuai,",4
benar,17
"nya,",35
tanya,28
solusi,28
ke,669
WA,7
admin,91
gak,594
"respon,",5
intinya,3
dalam,100
penyelesaian,2
Ini,120
kenapa,202
gk,272
"login,",8
pesan,2
yg,685
muncul,19
bilang,33
kalau,151
sinyal,30
nya,948
jelek,45
ku,47
"bagus,",25
nyoba,34
login,95
aplikasi,735
lain,151
lancar-lancar,1
"aja,",28
tolong,178
perbaiki,94
dong,112
Apk,78
memang,37
mudah,45
pahami,2
untuk,377
para,13
pemula,38
(,10
awam,7
"),",1
ranting,1
bintang,174
1,273
"?,",1
karena,134
ini,759
soal,16
penarikan,198
pembelian,86
sangat,309
lama,891
butuh,145
waktu,169
3-7,5
"hari,",39
seperti,95
apk,285
beberapa,50
menit,22
"pembelian,",3
mohon,77
bibit,759
semoga,20
mempercepat,4
masalah,55
Nyimpen,1
Dana,48
Darurat,1
produk,16
Reksadana,55
Pasar,7
Uang,43
logo,29
Instan,2
(logo,1
"petir),",1
tapi,483
pas,207
melakukan,65
penjualan,205
buat,242
kebutuhan,17
"mendesak,",1
baru,241
cair,165
7,211
hari,658
kerjaa.,2
kaloo,1
fiturnya,5
ngga,39
pake,182
ngapain,7
"sediain,",1
next,4
kalo,189
terus,189
pindahin,2
platfrom,4
marketplace,1
reksadana,112
lain.,16
SANGAT,17
MENGECEWAKAN,1
gmnaa,2
yaaa,3
investasi,342
1jt,14
udahh,1
hampir,60
seminggu,83
ga,561
